"","AT2","Airway Epithelium","Alveolar Macrophages","Capillary cells","Dendritic cells","Fibroblasts and Protector cells","Granulocytes","Innate Lymphoid cells","Interstitial Macrophages","non classical Monocytes","classical Monocytes","Monocytes and M2 Macrophages","NKT cells","Plasma B cells","T cells","Vascular Endothelial cells"
"AT2",0.052785878014995,0.0588222828910469,0.149754153413153,0.0812889009371993,0.0659079254059591,0.0275201039465789,0.000415508868698014,-0.00180058081331375,0.0241980121929322,0.140683177542176,0.0541862950534352,0.0262866939947261,0.0978707557657572,0.0547940258658783,0.122136812547513,-0.00479375095588011
"Airway Epithelium",-0.120523955181614,-0.0719815779950744,-0.239683869605824,-0.149079878296288,-0.0351056743714259,-0.0818142312139417,0.0119517690946288,-0.00916610166594175,-0.0536114321798676,-0.138426241461498,-0.137528364837665,-0.0348957510433464,-0.201457335095415,-0.130626639935388,-0.237259534115628,-0.0101793610502047
"Alveolar Macrophages",-0.10260942526587,-0.0696060272066449,-0.168155393452139,-0.0987223127504241,-0.0375111052000187,-0.0557391929353948,-0.0102972283698901,-0.0024187761834319,-0.0453700761440819,-0.116892803250797,-0.09489432164285,-0.0292471974080392,-0.127039945526449,-0.0764862255020175,-0.168157510911817,-0.00697120072526283
"Capillary cells",-0.0609475324679624,-0.0318686392149521,-0.117301051860845,-0.0750033213370245,-0.0220078463830647,-0.0343100155470033,-0.00171781885124113,-0.00253484676527616,-0.0140901711995891,-0.0771862359460983,-0.0656320976203391,-0.0112963780527794,-0.0963559323027311,-0.0626812773001267,-0.130934548930377,0.00498700570066184
"Dendritic cells",0.031569834483162,0.0454986349975688,0.0804609649894586,0.0477021417701544,0.0131194043857052,0.0581677375394193,-0.000792780741238934,0.0162235561436937,0.049330294355134,0.0460221602846999,0.0346377374898088,0.0560719229073769,0.0523007516271607,0.0449042186684424,0.0830997103903032,-0.000419793459370318
"Fibroblasts and Protector cells",0.0389049719458997,0.0109449003745145,0.0707781858607321,0.0474637313180256,0.0126583034681487,0.0293644927294799,9.47617917307611e-05,0,0.00566857446103428,0.0454457218350144,0.0486122028408721,0.00972602729326083,0.0720588937701766,0.0463479866993191,0.0855075469166074,-0.000559359676109343
"Granulocytes",0.000219254552111564,0.00294065637134302,0.00315242289838799,0.00197126002134983,-0.00153320335254402,0.00282916066674842,-0.00134252313848508,0,-0.00142222059854716,0.00393606290542963,0.00353622284265344,0.000119473032111795,0.00377827171315311,0.00298552819321755,0.00614658858372765,-0.000927176166830907
"Innate Lymphoid cells",0,0,-0.00305308638612868,-0.00455440189808495,0,-0.00316222471490573,0,-0.00501123776875536,0,-0.00174961988300247,0,-0.000550959864665708,0,0,-0.00384157299199671,0
"Interstitial Macrophages",0.0691530722931395,0.0454156364850816,0.113720522380208,0.0720212688706564,0.023954990513144,0.0405220039225516,0.00107752652417236,0,0.0392049920258577,0.0726972452945979,0.0581297812090625,0.0194370023214326,0.0918782209363391,0.0553395209153093,0.114783538624343,0.00505705904853106
"non classical Monocytes",0.00706709904493859,0.0125327155809329,0.0400975160128915,0.0318784066325482,0.011873045997317,0.00888347867910362,0.00111928340311028,0,0.0137392374094623,0.0119947905675038,0.0268595289941549,0.00579885543081381,0.0349588821311754,0.0347915955800424,0.0479031609832025,0
"classical Monocytes",-0.00357255878473614,0.0023760716861701,0.000358820520129281,-0.00190005899142361,0.00214139584902489,0.0015876542070063,-0.00246416876126686,-0.000442763122380777,0.00546264414320601,0.00497231014455959,-0.00376489506807543,0.00215350919200549,-0.00703802542619265,-0.000191649789373013,-0.00614735367183067,0.00123931781724843
"Monocytes and M2 Macrophages",0.0289837152356442,0.027392615169956,0.0629789308901854,0.0495579330411203,0.0125547064582629,0.0216637769408039,0,0,0.0126306580799631,0.0418498348264309,0.0354685561458781,0.0104803940397342,0.0568663312500813,0.0353387431319251,0.0689675152347747,0.00643687014910598
"NKT cells",0.00396094223495615,0.00375165818655925,0.000527736891251895,-0.008025490348095,-0.00149460178543634,-0.000171816365056066,7.05507071393492e-05,0.00998155877952329,0.00200348905779657,-0.0017885403998562,-0.00191664451056213,0.000683674365636297,0.0215490734808186,0.0073410884108216,0.0134793575624619,-0.000696498370874256
"Plasma B cells",-0.0563229307720886,-0.031415703105528,-0.11646393075999,-0.0687450678909881,-0.0232086349406522,-0.0394275002281228,-0.00251283800946861,0.000223802101482046,-0.018692130307531,-0.0809590847180235,-0.0684737778214605,-0.0154151890980794,-0.107391866645787,-0.0678428474176518,-0.132409547663543,-0.000642095065853779
"T cells",-0.0499489692149963,-0.0299413773775149,-0.0956003806451967,-0.0657727335273062,-0.0205693906154718,-0.0324110854476273,-7.5397824339158e-05,-0.00285213601089111,-0.0175837586722666,-0.0686031000051073,-0.0638514278110734,-0.0149612029890945,-0.084845782929854,-0.0585777177997791,-0.108891429061424,-0.00538079405691655
"Vascular Endothelial cells",-0.014975849020448,-0.00628275807917155,-0.0239690476626709,-0.0122569878225254,-0.00630431226289735,-0.00611026378383701,-0.00316371834898617,-0.000623860054749319,-0.00765128479311963,-0.00903571337905759,-0.0180177760085159,-0.00587508878887989,-0.0212645684258513,-0.0141739738782345,-0.028136129883818,0.00226206605090341
