"Ligand"	"TargetGenes"	"Cell"
"Apoe"	"C1qb, Ncf1, C1qc, Fcer1g, Ccl3"	"AT2"
"Ccl12"	"Ccl3, Ccl5, Sdhb, Ifng, Tnf"	"AT2"
"Ifng"	"Ccl3, Ccl5, Igf1, Spp1, Fn1"	"AT2"
"Il12b"	"Gadd45b, Ifng, Ccl3, Tbx21, Tnf"	"AT2"
"Tgfb1"	"Eln, Ccl3, Fn1, Igf1, S100a9"	"AT2"
"Csf2"	"Cd86, Cd83, Tfrc, Mmp12, Rab34"	"Airway Epithelium"
"Cxcl10"	"Cxcr2, Mmp12, Nek8, Rab34, Sema3b"	"Airway Epithelium"
"Ifng"	"Casp1, Cd86, Psmb8, Cd83, Ccl5"	"Airway Epithelium"
"Il12a"	"Gzma, Eomes, Mapkapk3, Dusp5, Cd86"	"Airway Epithelium"
"Kng1"	"Hmgcr, Acta2, Cxcr2"	"Airway Epithelium"
"Apoe"	"F13a1, Fcer1g, Aqp1, Mfge8, Cbr3"	"Alveolar Macrophages"
"Sectm1a"	"Hmbs, Phf23, Fth1, Ftl1, Mthfr"	"Alveolar Macrophages"
"Spp1"	"Eln, Col3a1, Vcan, Nuf2, Bmf"	"Alveolar Macrophages"
"Tgfb1"	"Eln, Igf1, Col1a1, Asb2, Col3a1"	"Alveolar Macrophages"
"Vegfa"	"Akt3, Hpse, Kdr, Timp2, Kcnn4"	"Alveolar Macrophages"
"Agt"	"Serpine1, Col3a1, Col4a2, Col4a1, Mmp14"	"Capillary cells"
"Fgf2"	"Serpine1, Mal, Ntrk2, Cdkn1a, Dll4"	"Capillary cells"
"Il1b"	"Adamts1, Socs3, Serpine1, Col3a1, Enpp2"	"Capillary cells"
"Tnf"	"Comt, Enpp2, Socs3, Serpine1, Col15a1"	"Capillary cells"
"Vegfa"	"Sco2, Serpine1, Cd34, Anxa2, Enpp2"	"Capillary cells"
"Angpt1"	"Ilk, Flot1, Cdkn1b, Pfn1, Emp1"	"Dendritic cells"
"Cyr61"	"Cdkn1b, Pfn1, Flot1, Mdm2, Cfl1"	"Dendritic cells"
"Kl"	"Gclm, Mdm2, Flot1, Cdkn1b, Pfn1"	"Dendritic cells"
"Mapt"	"Gclm, Mdm2, Pfn1, Cdkn1b, Cfl1"	"Dendritic cells"
"Pf4"	"Ilk"	"Dendritic cells"
"Edn1"	"Col3a1, Col1a2, Col1a1, Col18a1, Vcan"	"Fibroblasts and Protector cells"
"Grem1"	"Tnc, Col1a1, Col18a1"	"Fibroblasts and Protector cells"
"Il1b"	"Col8a1, Mmp2, Col3a1, Vcan, Col1a1"	"Fibroblasts and Protector cells"
"Spp1"	"Col3a1, Vcan, Tnc, Col1a2, Col1a1"	"Fibroblasts and Protector cells"
"Tgfb1"	"Col1a2, Col1a1, Mmp2, Col3a1, Loxl2"	"Fibroblasts and Protector cells"
"Ccl12"	"Ccl5, Plec, Irf2bpl, Tubb5"	"Granulocytes"
"Hmgb1"	"Ccl5, Irf2bpl, Plec, Tubb5, Atp5d"	"Granulocytes"
"Il21"	"Nkg7, Cd79b, Irf2, Ccl5, Plec"	"Granulocytes"
"Il4"	"Fcer1a, Ccl5, Irf2, Itgb1, Plec"	"Granulocytes"
"Tnfsf12"	"Ccl5, Plec, Irf2bpl, Tubb5, Atp5d"	"Granulocytes"
"Camp"	"Ms4a6d, Ccl5, Glrx, Pink1, Maea"	"Innate Lymphoid cells"
"Ccl12"	"Ccl5, Itgax"	"Innate Lymphoid cells"
"Il17a"	"Ccl5, Cd8a, Wdr74, Selplg, Spi1"	"Innate Lymphoid cells"
"Il18"	"Ccr5, Ccl5, Sptbn1, Selplg, Spi1"	"Innate Lymphoid cells"
"Nlgn3"	"Ecm1, Rpl18, Maea, Sf3b4, Rplp0"	"Innate Lymphoid cells"
"Agt"	"Spp1, Apoe, Cd68, Hmox1"	"Interstitial Macrophages"
