"Ligand"	"TargetGenes"	"Cell"
"Apoa1"	"Apoe, Hmox1"	"Interstitial Macrophages"
"Apoe"	"Mfge8, Spp1, Hmox1"	"Interstitial Macrophages"
"Csf1"	"Acp5, Cd68, Mfge8, Hmox1, Ftl1"	"Interstitial Macrophages"
"Fgf1"	"Spp1, Hmox1, Apoe"	"Interstitial Macrophages"
"Apoe"	"Mfge8, Itgb2, Spp1"	"Monocytes and M2 Macrophages"
"Fgf1"	"Spp1, Fth1"	"Monocytes and M2 Macrophages"
"Il34"	"Atp6v0d2"	"Monocytes and M2 Macrophages"
"Tnf"	"Fth1, Itgb2, Spp1, Ctsh, Hsd17b4"	"Monocytes and M2 Macrophages"
"Tnfsf11"	"Atp6v0d2, Fth1, B2m, Hist1h2bc, Ftl1"	"Monocytes and M2 Macrophages"
"Ifng"	"Ccl5, Gclm, Psmb9, B2m, Cxcr6"	"NKT cells"
"Il12a"	"Gzmb, Ifng, B2m, Psmb9, Ccl5"	"NKT cells"
"Il12b"	"Gzmb, Ifng, Cd3e, Ccl5, B2m"	"NKT cells"
"Il18"	"Ifng, Gzmb, Ccl5, Cd3e"	"NKT cells"
"Il23a"	"Cd3e, Ifng, Gzmb, Ccl5, Psmb9"	"NKT cells"
"Cga"	"Phgdh, Cd36, Ccnd2, Myc, Ahnak"	"Plasma B cells"
"Il12b"	"Cd3e, Tbx21, Socs3, Myc, Ccnd2"	"Plasma B cells"
"Il4"	"Ccl5, Cd36, Myc, Socs3, Ccnd2"	"Plasma B cells"
"Penk"	"Prkcg"	"Plasma B cells"
"Ptgs2"	"C1qb, Dnaja1, Myc, Ahnak, Ccnd2"	"Plasma B cells"
"Ccl12"	"Ccl4, Ccl5, Ahnak, Id2, S100a10"	"T cells"
"Cxcl9"	"Mmp12, Ccl4"	"T cells"
"Ifng"	"Ccl4, Ccl5, B2m, Cxcr6, Il18rap"	"T cells"
"Il12a"	"Gzmb, Gzma, Ccl4, Ripk1, Ahnak"	"T cells"
"Il12b"	"Gzmb, Gzma, Ccl4, Ahnak, Ccl5"	"T cells"
"Bmp2"	"Lpl, Myh9, Ranbp1, Emp1, Pde4b"	"Vascular Endothelial cells"
"Il11"	"Lpl, Myh9, Ranbp1, Orai1, Emp1"	"Vascular Endothelial cells"
"Ostn"	"Sh3bp5, Emp1, Lpl, Col5a2, Ranbp1"	"Vascular Endothelial cells"
"Plg"	"Lpl, Myh9, Ranbp1"	"Vascular Endothelial cells"
"Vegfa"	"Cox17, Clu, Myh9, Ranbp1, Emp1"	"Vascular Endothelial cells"
"Cxcl9"	"Mmp12"	"classical Monocytes"
"Il12a"	"Gzma, Il18rap, Sdc4, Crip2, Vim"	"classical Monocytes"
"Il12b"	"Gzma, Sdc4, Vim, Anxa2, Crip2"	"classical Monocytes"
"Il2"	"Gzma, Il18rap, Marc2, Vim, Sdc4"	"classical Monocytes"
"Insl6"	"Zfp831, Ifi27, Sdc4, Fgl2"	"classical Monocytes"
"Apoa1"	"Tlr4, Tle3"	"non classical Monocytes"
"Gnrh1"	"Serpinb2, Tle3, Sdc4, Rarb, Tle1"	"non classical Monocytes"
"Hmgb2"	"Racgap1, Kif22, Anln, Tle1, Rarb"	"non classical Monocytes"
"Wisp2"	"Agpat2, Sdc4, Gfm2, Cdc14a, Hpcal1"	"non classical Monocytes"
