"","AT2","Airway Epithelium","Alveolar Macrophages","Capillary cells","Dendritic cells","Fibroblasts and Protector cells","Granulocytes","Innate Lymphoid cells","Interstitial Macrophages","non classical Monocytes","classical Monocytes","Monocytes and M2 Macrophages","NKT cells","Plasma B cells","T cells","Vascular Endothelial cells"
"AT2",-0.0260259647750324,-0.0189583666209228,-0.011636874918655,-0.0559085707841138,-0.0211187225619236,-0.00659904378446282,-0.0232965798494792,-0.00178184856910074,-0.00763883395342361,-0.0255503581921063,-0.0211076044457018,-0.0360512352653532,-0.0331996781813303,-0.0309875115561713,-0.0902131432375379,-0.0326312837659755
"Airway Epithelium",-0.276584359038704,-0.234591482468559,-0.229248617715351,-0.467426550339397,-0.267775062660124,-0.109238307493446,-0.258164307109366,-0.0416860488438291,-0.19878701132762,-0.12307564803803,-0.225148548507964,-0.318671719608327,-0.404756715409274,-0.304795361978949,-0.710488689729711,-0.185189123784389
"Alveolar Macrophages",-0.0519750897579225,-0.0402240209543246,-0.0356894831965616,-0.0657701522017609,-0.0389337671898589,-0.02380283773871,-0.0313643433933016,-0.0165601262134454,-0.0365864748915235,-0.0303559639473925,-0.0457247386385844,-0.0465991477853991,-0.0553612584410105,-0.05000015029481,-0.0726800750481396,-0.0439998681402737
"Capillary cells",0.137803745465743,0.120423029101898,0.0847934816200057,0.281372742880891,0.18232056539784,0.0335253785571683,0.153380210068236,0.0205943709291503,0.117586669631142,0.0434193581814415,0.0878064283988852,0.171921751546289,0.274075441473723,0.181519700577432,0.492921823041524,0.10769530458963
"Dendritic cells",0.0967481095350303,0.0838724005753183,0.0467828088340104,0.187108511708425,0.0804494336654403,0.0154226869544785,0.0691855493012253,0.0143167703336044,0.044242482523188,0.0199264637104258,0.0808008117208589,0.0954838412967554,0.163450118445683,0.116328183148033,0.294027631578441,0.0316686382991024
"Fibroblasts and Protector cells",0.135393739592741,0.101416706509041,0.061666411001784,0.308061756538812,0.177857518630405,0.0380262539943968,0.112019784098975,0.00478323550621922,0.0799725645135205,0.0241168572073412,0.108731937281121,0.216013004776082,0.234893532948006,0.139318275427966,0.518493467475431,0.105101889965358
"Granulocytes",0.517655429454782,0.456429191880586,0.403095507761728,0.871334394876077,0.542310374987876,0.17102002751871,0.509462250005036,0.0536120234745093,0.36829950581534,0.169505621635844,0.418687253384346,0.609178965667325,0.778471692809191,0.55395322218567,1.29733599019083,0.248304716655399
"Innate Lymphoid cells",-0.00448093162553661,-0.00293217595495497,-0.00426774699468111,-0.00382686603587986,-0.00650712724086625,-0.000413653503613864,-0.00357466455463377,-0.000842488446944593,-0.00363916228434285,-0.00348594266237471,-0.00681119640775253,-0.00563379437362524,-0.0025531396830776,-0.0010625282252868,0.000332254677561388,-0.00641064533261059
"Interstitial Macrophages",0.0319471179314934,0.0386713364123737,0.0297836313819417,0.0783513794478186,0.0453957060489124,0.0059107461006539,0.0431605668904181,0.00301606494970304,0.0288681353973142,0.0126492493800594,0.0390608912923503,0.0506042944061269,0.0735473320204775,0.0511773893386363,0.136700401185612,0.0288851748183871
"non classical Monocytes",0.152927704585306,0.117328181976057,0.151855160125587,0.192789665340423,0.129739818568832,0.113121655068691,0.154834693782594,0.0549863086533337,0.115044797920059,0.0965013427983967,0.121365607379406,0.143960303217739,0.176413012237204,0.153421550863527,0.230717707269564,0.110240957436872
"classical Monocytes",0.101963579608118,0.080811784191602,0.0763533819322531,0.147164474007751,0.0741389179656807,0.0562736574020832,0.0876000627484329,0.0382969632421418,0.0584646729894714,0.0509703285696649,0.0888014197494336,0.0848694637581751,0.12599347992587,0.102843605790751,0.181061794077305,0.06624629791332
"Monocytes and M2 Macrophages",0.731907795907241,0.635040674907452,0.554717288957469,1.16245762395248,0.624971701772101,0.239312130139862,0.640082723255505,0.113563127217332,0.500003203749625,0.329803640076935,0.664866835968348,0.718282156162303,1.0723745206528,0.842556036966639,1.67867457168183,0.465603351629119
"NKT cells",0.0777823210257357,0.0724791551150988,0.0752056436811896,0.145906993874135,0.090220428562257,0.0348903097788567,0.0784823435696311,0.0166142660976255,0.0695763009370863,0.0405545868036261,0.0752645722595888,0.112381054480854,0.119216741353927,0.0872317714924175,0.213790179257834,0.0561634914028542
"Plasma B cells",-0.110150979866517,-0.102602959627955,-0.0897474194376914,-0.196045224329583,-0.123365320640009,-0.0429402249568452,-0.106496081488434,-0.015625200416888,-0.0854595320174487,-0.0485639571340432,-0.0917276266200546,-0.142976538928164,-0.18262290397317,-0.134783060913853,-0.306988564424124,-0.0855152005749932
"T cells",-0.0239633257440418,-0.0138103156615162,0.00352772077995675,-0.0373596735909794,-0.0214488051149027,-0.00308891385777089,-0.00650385927922221,-0.000872079227748334,-0.00534308704149119,0.00368427597880614,-0.00486163845370897,-0.025893130231737,-0.026507076150811,-0.0213891459030423,-0.0637419684163209,-0.0122749386600941
"Vascular Endothelial cells",0.160247931753591,0.117978225983348,0.141414535557615,0.267095662112823,0.15219855475102,0.0940158469216566,0.176414557605792,0.0345487753500366,0.119726657951208,0.0939647666942779,0.133294787602551,0.189395405399074,0.201146269384285,0.168906543613567,0.376449849917871,0.128559862207189
