"Ligand"	"TargetGenes"	"Cell"
"Cmtm8"	"Tap1, Hist1h2an, Bst2, Ifi44, Ifi27"	"AT2"
"Fgf23"	"a, Prg2, Cyp3a13, Pigr, Rai2"	"AT2"
"Tgfb2"	"Enam, Agr3, Tmem212, Morn3, Vit"	"AT2"
"App"	"Sbk1, Atp13a5, Pou2af1, Ros1, Spag11b"	"Airway Epithelium"
"Calr"	"Myoz3, Slc39a2, Efhc2, Lurap1, Crip3"	"Airway Epithelium"
"Hmgb2"	"Ube2c, Cdca5, Cdc20, Ccnb1, Ccna2"	"Airway Epithelium"
"Mpz"	"A3galt2, X4930550C14Rik, Gm11437, X2410004P03Rik, Capn8"	"Airway Epithelium"
"App"	"X1700024G13Rik, Apod, Spag11b, Ano7, Rxfp1"	"Alveolar Macrophages"
"Cd24a"	"Gpr173, Vpreb1, Cox6a2, Atp2b2, Abca8b"	"Alveolar Macrophages"
"Ifng"	"Cxcl9, Ccl17, Ccr5, Psmb8, Cxcl10"	"Alveolar Macrophages"
"Lama2"	"Arl13a, Gal3st1, Myo1h, Slamf9, Sirpb1a"	"Alveolar Macrophages"
"Tnf"	"Cxcl9, Ccl17, Tlr3, Ccr4, Gbp2"	"Alveolar Macrophages"
"App"	"Spata9, Atp13a5, Map3k19, Pcsk1, Adm"	"Capillary cells"
"Cmtm2b"	"Cdkn1a, Ppp2r2b, Sec16b, Ankrd55, Smad3"	"Capillary cells"
"Dsc3"	"Cdkn1a, Espn, Hoxa2, Sfrp1, Adm"	"Capillary cells"
"Ebi3"	"Irf9, Stat1, Cdkn1a, Stat2, Tap1"	"Capillary cells"
"Tgfb2"	"Abca6, Agr3, Bpifa1, Mei1, Serpine1"	"Capillary cells"
"App"	"Arc, Ros1, Lrrc18, Nfil3, Themis"	"Dendritic cells"
"Cd24a"	"Gpr182, Cxcr2, Clic5, Scnn1b, Sp140"	"Dendritic cells"
"Dsc3"	"Hoxa7, Ccnd1, Nr2f2, Tbx1, Tfap2a"	"Dendritic cells"
"Fgf23"	"Tff2, Amy1, Slc6a13, Cyp3a13, Pigr"	"Dendritic cells"
"Nlgn3"	"Pon1, Kcnj13, Plac1, Wdr63, Alas2"	"Dendritic cells"
"App"	"I830077J02Rik, Apod, Mrgprx1, Tmem252, Ifit1"	"Fibroblasts and Protector cells"
"Lama2"	"Naip2, Plekhd1, Itih2, Mylk4, Vpreb1"	"Fibroblasts and Protector cells"
"Mif"	"Tekt2, Shank2, X1700007K13Rik, Mapk10, Bbs2"	"Fibroblasts and Protector cells"
"Nlgn1"	"Zfp558, Slamf8, Alas2, Casp1, Tnnc2"	"Fibroblasts and Protector cells"
"Nlgn3"	"Slamf8, Casp1, Alas2, Tnnc2, Scin"	"Fibroblasts and Protector cells"
"Apln"	"Agxt2, Svopl, Gk2, Stac3, Ros1"	"Granulocytes"
"Calr"	"Myo16, Mylk3, Car5a, Ccr3, Lca5l"	"Granulocytes"
