"Ligand"	"TargetGenes"	"Cell"
"Jag1"	"Slc16a4, Pou6f2, Trpc5, Fhod3, Ksr2"	"Granulocytes"
"Lama2"	"Tmem202, Nrip2, Ros1, Ppfia2, Insl6"	"Granulocytes"
"Mif"	"Pdzd4, X1700001C02Rik, Mdh1b, Fam167a, Ccdc60"	"Granulocytes"
"App"	"AI661453, Mansc1, Clec9a, Slc1a6, X4930453N24Rik"	"Innate Lymphoid cells"
"Hmgb2"	"Ncapg, Cdca5, Phf19, Ube2s, Aspm"	"Innate Lymphoid cells"
"Igf1"	"Slc26a3, Serpinb10, Angpt4, Cxcr1, Mycn"	"Innate Lymphoid cells"
"Lama2"	"Slc1a6, Fam71b, Gal3st1, Psd2, Abo"	"Innate Lymphoid cells"
"Ltf"	"Prdm6, Hcn1, Synpo, Crtc1, Tpcn2"	"Innate Lymphoid cells"
"App"	"Ankrd66, Spata9, Tmem132b, Atp10b, Cd200r4"	"Interstitial Macrophages"
"Igf1"	"Catsperb, Cd209a, Clec1b, Pde8b, Spo11"	"Interstitial Macrophages"
"Lama2"	"Cd200r4, Tekt1, Cyp4b1, Slamf9, Acacb"	"Interstitial Macrophages"
"Tgfb2"	"Abca6, Tekt1, Pglyrp1, Capsl, Unc45b"	"Interstitial Macrophages"
"Tnf"	"Cxcl9, Icam1, Ccl17, Ccr4, Nod2"	"Interstitial Macrophages"
"App"	"Apod, Pcsk1, Gabrr3, Folr2, Htr1f"	"Monocytes and M2 Macrophages"
"Cd40lg"	"Cd69, Irf4, Vcam1, Prdm1, Trp53"	"Monocytes and M2 Macrophages"
"Igf1"	"Clec1b, Trim17, Tap1, Plekhg6, Cldn15"	"Monocytes and M2 Macrophages"
"Itgal"	"Arhgef15, Pla2g10, Rasl12, Nptxr, Acvr1c"	"Monocytes and M2 Macrophages"
"Lama2"	"Gimap3, Spata21, Cyp4b1, Cryba4, Luzp2"	"Monocytes and M2 Macrophages"
"Bmp5"	"Fgfr3, Pim1, Ajuba, Edn1, Lama5"	"NKT cells"
"Calr"	"Oc90, Spaca1, Oxgr1, Riiad1, Dnah12"	"NKT cells"
"Lama2"	"Tnn, Fam216b, Myo1h, Ccdc175, Vwc2"	"NKT cells"
"Tgfb2"	"Abca6, Agr3, Akap14, Apoh, Riiad1"	"NKT cells"
"App"	"AI661453, Clic6, Gabrr3, Tcf23, Lrrc55"	"Plasma B cells"
"Dsc3"	"Cbx4, Hoxa3, Tbx2, Tbx4, Wnt5a"	"Plasma B cells"
"Dscam"	"Brca1, Fhl2, Med13l, Sybu, Nos2"	"Plasma B cells"
"Igf1"	"Pomc, Tex15, Zfp78, Ccdc81, Plac1"	"Plasma B cells"
"Il10"	"Chrnb3, Gpr156, Ip6k3, Rnf152, Cdh10"	"Plasma B cells"
"App"	"Ankrd66, I830077J02Rik, Gabrr3, Tmem132b, Ptgs2"	"T cells"
"Dsc3"	"Foxa1, Hoxa3, Hes2, Wt1, Prdm16"	"T cells"
"Hmgb2"	"Ncapg, Mki67, Tcf19, Hist1h4h, Hist1h2ai"	"T cells"
"Il10"	"Ip6k3, Apobec2, Slc4a10, Tmem125, Wnt2"	"T cells"
"Lama2"	"Tmem202, Tvp23a, Gc, Nox4, Rs1"	"T cells"
"Calr"	"Stx19, Dnah12, Lurap1, Mmp12, Esm1"	"Vascular Endothelial cells"
"Mif"	"Trim39, Sall2, Pacrg, X1110065P20Rik, Adamts17"	"Vascular Endothelial cells"
"Tnf"	"Sele, Ptafr, Csf1r, Casp3, Itgam"	"Vascular Endothelial cells"
"App"	"Ankrd66, Pcsk1, Ros1, Lrrc69, Fbxw10"	"classical Monocytes"
"Calr"	"Lrrc69, Upk1a, Syt16, Usp54, Pla2g5"	"classical Monocytes"
"Nlgn1"	"Zfp558, Tfap2e, Txk, Robo4, Wdr63"	"classical Monocytes"
"Nlgn3"	"Tfap2e, Ppp1r36, Txk, Robo4, Wdr63"	"classical Monocytes"
"App"	"Pla2g4e, Cd300e, Clec9a, Pcdha2, Lrrc55"	"non classical Monocytes"
"Calr"	"Syce1l, Pebp4, Cers3, Nlrp10, Mylk3"	"non classical Monocytes"
"Hmgb2"	"Pbk, Top2a, Iqgap3, Ckap2l, Hist1h3d"	"non classical Monocytes"
"Mif"	"X4930505A04Rik, Ube2u, Ppp1r32, Ptch2, Cdhr3"	"non classical Monocytes"
