"","AT2","Airway Epithelium","Alveolar Macrophages","Capillary cells","Dendritic cells","Fibroblasts and Protector cells","Granulocytes","Innate Lymphoid cells","Interstitial Macrophages","non classical Monocytes","classical Monocytes","Monocytes and M2 Macrophages","NKT cells","Plasma B cells","T cells","Vascular Endothelial cells"
"AT2",-0.0596520904495084,-0.0142139864062504,-0.0108322757346744,-0.0648619875018046,-0.0288028435322292,-0.0640757539772068,-0.0402662250721019,-0.0165516193912072,-0.0424458458887241,-0.0457637163058551,-0.0201454286054516,-0.0470438557879666,-0.00254034660236707,-0.0619325463508274,-0.0412117408048494,-0.0192624931158383
"Airway Epithelium",-0.0258739911824967,-0.00640206700709507,-0.00367557337843885,-0.0192344144676621,-0.0105919492958373,-0.0131499012543878,-0.0174636881104434,-0.00901424863007093,-0.0124459697497434,-0.014318057895123,-0.00755265320319783,-0.0133688994155195,-0.00187396563235097,-0.0223069041859236,-0.0153976937374934,-0.00996910740133597
"Alveolar Macrophages",0.0343167474178908,0.0063709933617375,0.020986245091355,0.0535452380146478,0.03733712340819,0.133168805694222,0.0287569324973167,0.0247451851523775,0.0310826751830497,0.0281585810119071,0.0226288122683243,0.0464097164603416,0,0.034511924554872,0.0426952268207493,0.0161812795455706
"Capillary cells",0.0847152011083853,0.0140803242049384,0,0.164329636185106,0.0658195212163386,0.0965719320405459,0.0936908461281696,0.0245499218600205,0.069235167709364,0.0860843642435295,0.037413499625952,0.0367316509031819,0,0.118837946622205,0.0949094920540025,0.0409688495351083
"Dendritic cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblasts and Protector cells",0.162268961822959,0.0308653071013226,0.00805243009312616,0.251341999433878,0.0967912240194525,0.234917108269826,0.174641525959537,0.0346199294017922,0.12311426434131,0.225087043629931,0.0966751614205884,0.110094260129146,0,0.223997816882156,0.149730643344837,0.109571101989109
"Granulocytes",-0.00981170425278716,-0.00098033392856996,0,-0.016234781496921,-0.00947757251632902,-0.0140689659426172,-0.0124240325602223,-0.00286286048407828,-0.00662948814852267,-0.0113010015869222,-0.00433627416513916,-0.0101382279461495,0,-0.0147537148887305,-0.0119952585006618,-0.0070423801005051
"Innate Lymphoid cells",0.0119559826337545,0.00334210448065873,0.000726845923012949,0.0223923181853364,0.00877886978015182,0.0183522542335892,0.0179250256679933,0.00264523278907328,0.00841413979175526,0.0144318040293031,0.00705055712960585,0.00414054699205157,-2.31372698505209e-05,0.0232372349982392,0.0158272673444883,0.00945733454475917
"Interstitial Macrophages",0.200018875347231,0.055533884369957,0.077781090384454,0.0975530178565207,0.0485758471130221,0.0813617564320933,0.0382323826294405,0.0479718678185248,0.173130893575176,0.0270065499529899,0.0175061308027478,0.158503475890787,0,0.125343005393102,0.0638898625735522,0.0151775592244195
"non classical Monocytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"classical Monocytes",0.00575923525976044,0.00126841261391637,0,0.00669239824001091,0.00205323032153685,0.00597020821213936,0.00519749351162912,0.00212905371790618,0.00266736788930265,0.00456174975058359,0.00177823908245705,0.00297391786645675,0,0.00640341313054683,0.00436237749893542,0.00404049018600426
"Monocytes and M2 Macrophages",0.0931745510742017,0.00591359804303366,0.0436717441576448,0.127444119495851,0.089536491009076,0.290815775923278,0.0731572005908259,0.0500268940152235,0.0660817536119847,0.0854655160237671,0.0479843787778322,0.107626106624216,0,0.0828298615377481,0.103211080887376,0.0331188810143495
"NKT cells",0.0570679526682146,0.00994970401924868,0.0118710525805588,0.0430618417662734,0.0305341109454135,0.039827468748811,0.0456208790218211,0.0250428083576718,0.0330976325981692,0.0471233968914822,0.0206628000146497,0.0405081259064497,0.0156357776107498,0.0540596635489374,0.0583031584775101,0.0176452884884993
"Plasma B cells",-0.00903976725395334,-0.000881385984895728,0,-0.0117027116642286,-0.00831137922701385,-0.0120866456205661,-0.00924925347913325,-0.00261886292926519,-0.00584726414617914,-0.00880283507773208,-0.00377493344750992,-0.00937167086815503,0,-0.0116689442284809,-0.0108619344038485,-0.00575754104985762
"T cells",-0.00907809361418296,-0.00495240762372771,0,-0.0208042905164715,-0.00751656923383529,-0.0122355883194636,-0.0142159221843869,-0.00394971004956656,-0.00989972538064446,-0.015556312740834,-0.00775502520103472,-0.00703506623793678,-0.000264470675411534,-0.0199953505593309,-0.0114563756892315,-0.00752008356156043
"Vascular Endothelial cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
