"","AT2","Airway Epithelium","Alveolar Macrophages","Capillary cells","Dendritic cells","Fibroblasts and Protector cells","Granulocytes","Innate Lymphoid cells","Interstitial Macrophages","non classical Monocytes","classical Monocytes","Monocytes and M2 Macrophages","NKT cells","Plasma B cells","T cells","Vascular Endothelial cells"
"AT2",0.0869387005881936,0,0.0124415013426982,0.146375438629867,0.122351229913195,0.198955809581169,0.0166648725257224,0.149404065250951,0.0724093048331074,0.0649924712888022,0.0367160101434874,0.0237029654946085,0.113848231139286,0.127751630200344,0.142627268408208,0.053065972752885
"Airway Epithelium",-0.0161175912376301,0,0,-0.0229911315812846,-0.012113136523903,-0.0269191161873634,-0.00408142042271189,-0.00253199661154329,-0.0071369456703206,-0.0113316139440934,-0.00240632442623879,-0.0025910814252764,-0.0123209526700588,-0.0204682609134883,-0.0199980564488161,-0.00871682360298633
"Alveolar Macrophages",0.0435748748510578,0,0.016744003783253,0.0886731627998207,0.0435069347416247,0.160990903572631,0.00681552650377116,0.0740709160728913,0.0202103323145607,0.0504184430095507,0.0261933610542139,0.0130147743535458,0.0670866457733668,0.0643485128308049,0.104747403188709,0.0172949599660257
"Capillary cells",0.120042870023174,0,0.0148710262944646,0.177995614829689,0.0969289647120506,0.271239212732825,0.0606911987471659,0.0416174351018672,0.0684126180279792,0.12253321483161,0.0340388709438603,0.0299356148843049,0.111353608206471,0.187396507569759,0.194919088936909,0.0675303838221469
"Dendritic cells",0.0483130606639444,0,0.00430503301704605,0.0704032801095687,0.046334126580903,0.0923588220563433,0.00953604581569722,0.0139836861925424,0.0380047098096644,0.0330931505128745,0.00821016975436361,0.00797879764014828,0.0463503767794682,0.0653084969278288,0.0751723917571951,0.0277930222310381
"Fibroblasts and Protector cells",0.441739800372273,0,0.0257021355708473,0.672211808412649,0.318056315557156,0.903874903642715,0.148239679603008,0.126337398555297,0.254378244827516,0.4125511290498,0.0702828560421111,0.117567965936298,0.411849489885322,0.627012955875583,0.675450174067328,0.279578732115543
"Granulocytes",-0.00536869677123774,0,0,-0.00953680514382319,-0.00437902674234593,-0.0117269749911222,-0.00228298059026031,-0.000780488548224348,-0.0020333176605211,-0.00484510371497372,-0.000579598483045071,-0.000263642943326629,-0.00300287734297307,-0.00659817041176913,-0.00707029756685376,-0.00433065785223202
"Innate Lymphoid cells",0.0328568228657629,0.000373441792638839,0.0134763980144443,0.0533226371573608,0.0438370799062211,0.0916638517043055,0.0181743755677347,0.0714197890449664,0.0448897535249527,0.049356512268901,0.0212560031795556,0.0258529180063764,0.0862739584962184,0.0828183529805059,0.119477738905031,0.021951933745643
"Interstitial Macrophages",0.235422235202244,0,0.11578850982636,0.34313774654819,0.147480540548233,0.653166961505521,0.0633219940847632,0.20672882238575,0.267043501689243,0.223474719970004,0.088376511323078,0.156729819942017,0.242762733017328,0.336309594550575,0.358901027405328,0.200534968348641
"non classical Monocytes",-0.0164637932477722,0,-0.00837207425877326,-0.010271875617734,-0.015469204847758,-0.0141828966946145,-0.00240576727173812,-0.00545232431345012,-0.0144952192093157,-0.0144895380119777,-0.00792292730573899,-0.00328685447745328,-0.019812975890659,-0.03180907941522,-0.021611051561504,-0.00400314896675888
"classical Monocytes",0.00400103240579193,0,9.17313582625654e-05,0.00550008707727914,0.00388291484548594,0.0047032073238401,0.000345806776655042,0.00145176427765089,0.00234664591438935,0.00125303943767621,0.00116480473170096,0.00154644927058404,0.00461619973457198,0.00724481100587517,0.00635765196118995,0.00135865262286884
"Monocytes and M2 Macrophages",0.292326929240567,0,0.123574691436692,0.477676674256739,0.20588995076748,0.802313980196006,0.0767764872768385,0.227739033838205,0.25586729374486,0.302668847355173,0.12378290367358,0.157286914658309,0.295982427690868,0.420729350365871,0.47324437247218,0.183894384510494
"NKT cells",0.123014360540289,0.000712789499204445,0.0457866097827291,0.179762222223329,0.122482554020043,0.236222483765434,0.0587351870101633,0.137011850603011,0.119133968334085,0.128119862678978,0.0614956702067291,0.0730096719321402,0.189560161092827,0.23090025530404,0.283413446166424,0.0694966956711737
"Plasma B cells",-0.00148694911940845,0,-0.000191871836567775,-0.00558134169010183,-0.00223109465524223,-0.00738293000410161,-0.00325135366007746,-0.00641628920697189,4.64695473088887e-06,-0.00341523420285629,0.000293869325482665,0.00206295605239528,-0.00604345078848669,-0.00140645679872772,-0.00948462236666477,-0.000769997874951326
"T cells",-0.0238436120943065,2.82386227578022e-06,-0.0020178603942355,-0.0265571923681723,-0.0194790269236564,-0.0404735106009268,-0.00733534343056974,-0.00471676476132759,-0.0133713783986457,-0.01592901058392,-0.000546154319222776,-0.00501862603949283,-0.0199918466004259,-0.0263689539598848,-0.0236336641716683,-0.0104085458119031
"Vascular Endothelial cells",0.0849721706053591,0,0.0176244393498856,0.163885989103617,0.106898614122014,0.173564032323022,0.0592863986468739,0.059514902852304,0.0938739936906474,0.133738425002516,0.0403063061762321,0.0460297346147973,0.0851383336398571,0.126280888798407,0.171728178382529,0.0653861536212128
