"","AT2","Airway Epithelium","Alveolar Macrophages","Capillary cells","Dendritic cells","Fibroblasts and Protector cells","Granulocytes","Innate Lymphoid cells","Interstitial Macrophages","non classical Monocytes","classical Monocytes","Monocytes and M2 Macrophages","NKT cells","Plasma B cells","T cells","Vascular Endothelial cells"
"AT2",0,0.000344411485526475,0.00333883941167704,0.0122568838958672,0.00732961588274246,0.00198272310247623,0.0126756018253208,0.00202896320124085,0.00553703940950243,0.000550880684686171,0.0016112852282629,0.00864810304458368,0.00386833889954078,0.00190061867860754,0.0059971670948858,0.00225357956484451
"Airway Epithelium",0,-0.000356309418874088,-0.00185610673853186,-0.0159402075731784,-0.00833998593637467,-0.000921776205936842,-0.0109380849883846,-0.00089587265524544,-0.00509126800230272,0,-0.00116085837252165,-0.00965296861595711,-0.00156779941499651,-0.000324366706943211,-0.00536564509815116,-0.00396562748567425
"Alveolar Macrophages",0,0,0.0240997271531574,0.0685786079950241,0.0450448744312969,0.000101149643499065,0.081855122396572,0.0032065307954004,0.0361604579692996,0.00182432778753111,0.0169952836468587,0.0658496884223595,0.0134327663542766,-0.00272806156620449,0.046742533570345,0.00790313885820227
"Capillary cells",0,-0.00058190899975096,0.0394884367695944,0.220047397373753,0.115021994931962,0.0234933595580705,0.179062780024363,0.014339300677171,0.0782470303434073,0,0.0238396830880486,0.159759428399295,0.0413253378667261,0.0222714468785487,0.0868669048086198,0.0407075999902551
"Dendritic cells",0,0,0.0289456866601384,0.137006210930877,0.0846574716485342,0.0171097641090889,0.109658956966876,0.0148530232792915,0.0596721200116389,0,0.01131848265567,0.0953786369065009,0.024975412991598,0.013220630451462,0.0702392732877408,0.0302567361376804
"Fibroblasts and Protector cells",0,0,0.00597714592559089,0.0250845053718653,0.0172969400491869,0.00370815490581799,0.0375935965885103,0.00959793570862901,0.0107622967419373,0.00129046008473043,0.00698270871516249,0.0294705354206334,0.0125353697820042,0.00622075952138749,0.0227512544354929,0.00627109998317748
"Granulocytes",0,0.0096255497454726,0.338830298585795,1.09808823544423,0.801062068472024,0.13084179536458,1.09723800822522,0.283020329461846,0.608524866552197,0.053272082625684,0.275667464305071,0.949079019235002,0.377619600271355,0.176935827420485,0.59613743199994,0.293679114570148
"Innate Lymphoid cells",0,0,0.000541566382445355,0.00843526372407946,0.00535726895044169,0.00175260094524893,0.00723672523941978,0.00136831666469076,0.00340766759464793,0,0,0.00529849335407778,0.00299733824269642,0.000875895883647579,0.00558528497722185,0.00142149198741622
"Interstitial Macrophages",0,0.00399878550110418,0.0808023201484808,0.316193033292623,0.197392203916961,0.0242233653524154,0.28809932147957,0.0409199894070217,0.156717307201833,0.000909957199960083,0.0333430827177199,0.243419058966463,0.0645781567365258,0.0370144230453018,0.13101627386991,0.103002856703135
"non classical Monocytes",0,0,-9.27307020377532e-05,-0.00129031335077317,-0.00100194612481514,-6.58664649451175e-05,-0.00167192766013754,-0.000168925241257405,-0.00104084201623373,0,-7.12521451010737e-05,-0.00117615259447171,-0.000210387307858093,-8.48394038911429e-05,-0.00052352273380173,-0.000194268978417543
"classical Monocytes",0,-0.000491940812106546,0.00304511499185567,0.0639543657367793,0.0372878431974314,0.000681487946438687,0.059617398545355,0.00224494249267967,0.0315741998445698,0.00656771408329565,0.00256788514779609,0.0347561571154038,0.010402130886529,0.0140001169252363,0.0209364603416908,0.00611893203027963
"Monocytes and M2 Macrophages",0,0.0201640575117843,0.28810197853614,1.11555914526678,0.758482948533258,0.0851209210012227,1.12171031662239,0.188447427703729,0.599372700711981,0.00757592881155373,0.169396038350936,0.931936139889223,0.314484761174361,0.169184786619312,0.57462730069227,0.318544326962641
"NKT cells",0,0.00343547613914116,0.084282915673192,0.27729207332136,0.197704524505262,0.0368532915388674,0.278775739099589,0.058815904260041,0.140398559931463,0.00694275718449464,0.0574431577654219,0.243436620703693,0.14496139653382,0.0472251484805797,0.216908761271873,0.04523919571269
"Plasma B cells",-0.000258904568891092,-0.00374493713738569,-0.0119480227628194,-0.0282268834803388,-0.0165359207232646,-0.00454078067780924,-0.0325583630611548,-0.00568674581553053,-0.0229144827746068,-0.000408952009065153,-0.0065692565930776,-0.0362337692104552,-0.0130048336012063,-0.00428397891150546,-0.0186913357318658,-0.0116831316872726
"T cells",0,-0.00371989193817007,-0.00325595757703941,-0.0283034236374046,-0.0143940276515651,-0.00109026335826825,-0.0225859895132561,-0.0028602161899165,-0.0185308635579918,-0.000413842819970765,-0.0067582543360819,-0.0222856377575992,-0.00144214205549719,-0.000521932942888389,-0.00467264165866246,-0.00589117578452661
"Vascular Endothelial cells",0,0,0.0934564239449704,0.205462733769231,0.186069528298672,0.0546703875257028,0.263780045708152,0.0498735752710117,0.120795204840567,0.000836763282696947,0.05854403783717,0.207303151090023,0.0899265108871371,0.0423615197171956,0.111133366430012,0.0403938894204857
