"","AT2","Airway Epithelium","Alveolar Macrophages","Capillary cells","Dendritic cells","Fibroblasts and Protector cells","Granulocytes","Innate Lymphoid cells","Interstitial Macrophages","non classical Monocytes","classical Monocytes","Monocytes and M2 Macrophages","NKT cells","Plasma B cells","T cells","Vascular Endothelial cells"
"AT2",0,0,-0.0112233046837001,-0.00365678079570319,0,0,-0.00723730354170603,-0.00356453050716804,-0.00471143054875508,-0.00739394012618088,-1.63969230008401e-05,-0.00578533446342763,-0.00818342308976246,-0.00265922348520291,-0.0166839963142521,0
"Airway Epithelium",-0.00205746127883887,-0.00677413649132535,-0.091788906235374,-0.0421081723291497,-0.00115322774864936,-0.000923510872437559,-0.0532308807972709,-0.00918345625792392,-0.0482885187576005,-0.0484383574613593,-0.0119216676416203,-0.0457452983411749,-0.0536505726113936,-0.0278304207050733,-0.117245316303308,-0.00180630714633408
"Alveolar Macrophages",0.00144320976292639,-0.0021512460697944,-0.0394900036037825,-0.00655895112924168,-5.71075985444452e-05,0.00035902097031232,-0.01382297725679,-0.00368971262825776,-0.0120071821225234,-0.0108928870896542,-0.00382336124889621,-0.0122351829196182,-0.0173691062572347,-0.00858139761039359,-0.034519179556421,0
"Capillary cells",-0.000468812278207452,-0.00174806238001171,-0.0360953887831656,-0.00951653651463434,-0.000742742023266765,0,-0.0202665504674187,0.00272684413001965,-0.016077583198668,-0.0165471620288579,0.00174820791945334,-0.0197157491101562,-0.0241740708784037,-0.00378597353324502,-0.0518843262484364,-0.000306176394340551
"Dendritic cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibroblasts and Protector cells",-0.000165266800286666,0,0.0272579162277066,0.00712141753199021,2.99200586236028e-05,0,0.0270756626220327,0.00568262397148856,0.0216181699223132,0.0163348657017606,0.000661958665818773,0.0245762621492208,0.0157340826903143,0.00771056831552653,0.0373606922856134,-3.61521905257506e-07
"Granulocytes",0,-2.68321379503512e-05,-0.000804990183588341,-0.000383146717571808,0,0,-0.000549723212867823,-0.000408409124028437,-0.000416400860998579,-0.000413871490533277,-0.000143858381347192,-0.00033709138768295,-0.000622339133592121,-0.000565601317857182,-0.00128551012172446,0
"Innate Lymphoid cells",-0.000784952741422615,-0.00283877251969611,-0.0135590663699353,-0.00730680274969262,-0.000454617395653718,0,-0.00775524362326163,-0.00210484135401309,-0.00671620364857998,-0.00637919575621181,-0.00263726133573295,-0.00601051596769447,-0.0123687521146591,-0.00579510361734712,-0.0236276359879181,0
"Interstitial Macrophages",-0.000798299823097485,-0.000148535138399735,0.0367754280127332,0.00164557197208669,0,0,0.00319284611302371,0,0.0206947846415235,0.0161514253949735,0.000113779872323352,0.0172002390139491,0.0207577009178724,0.00103884287384653,0.0437327204789704,0
"non classical Monocytes",0.00192527759252722,0.0234925196753569,0.0296144585435126,0.04896319299557,0.00343079485904388,0.00400696251102819,0.0381677913235643,0.0122700088600859,0.0251849605108704,0.0299295389728332,0.0131755026975562,0.00828920073987708,0.0215134594408968,0.0301278853909762,0.0350108627673357,0.00350838929545646
"classical Monocytes",0,-0.00013695038333656,-0.0150453081981998,-0.006581217337507,-2.56875704353772e-05,0,-0.0110052518437767,-0.00453855566936174,-0.00732923166852831,-0.0096677160749111,-0.00029280450776735,-0.00830273249596131,-0.00864779758692431,-0.00433088256147649,-0.0227838162114123,-2.30904708374458e-05
"Monocytes and M2 Macrophages",0.00746770654281442,0.0156032321701741,0.107590775564915,0.00507542565450076,0,0,0.00638222977681786,0.0115953131698853,0.0110947247434235,0.0214123559461313,0.0107210783532112,0.01804144278166,0.0158443407767393,0,0.0594170808389261,0
"NKT cells",0.00425000990192311,0.0197201463250886,0.163608054455244,0.0771900544148871,0.00305174812806908,0.00175678628263783,0.103505108992277,0.0339832704484509,0.0811039046815203,0.0914781809300073,0.0226526034882823,0.0829198460686717,0.123984300168643,0.0525828164187187,0.242613894834252,0.00475972965311121
"Plasma B cells",-0.00108851183550069,-0.000343766340746141,-0.0162128159269502,-0.00840637345518122,0,0,-0.0119020701347836,-0.00598147529181049,-0.00735808247536006,-0.0121509207589127,-0.000635269805670031,-0.00722704022845365,-0.0109246610298816,-0.00484603054038582,-0.0229055404248952,-0.000173442104499294
"T cells",-0.00191297262826741,-0.00265821583988711,-0.0274063755053534,-0.0132687077232924,-0.000881129208038394,-0.00212507555695369,-0.00805553197303556,-0.0078361516118201,-0.0109339861631464,-0.0118792404752948,-0.0069062702705446,-0.00361905643474455,-0.00125422065859866,-0.00403067207598398,-0.0160002542599445,-0.000946135926508076
"Vascular Endothelial cells",0,0.000590479468294084,0.00378752037654691,0.0061219313948889,-0.000324823178255527,0,0.00762130989794252,0.00895433486648081,0.00119622558478887,0.00255317817028277,0.00281641356991369,-0.000975495048650342,0.00575374165719316,0.0105723422112838,0.0109133838091925,0
