"Ligand"	"TargetGenes"	"Cell"
"Tgfb2"	"Lysmd3, Cstb, Sat1, Ndc80, Ftl1"	"Monocytes and M2 Macrophages"
"Tnf"	"Nfkbib, Pf4, Arg1, Hsd17b4, Icos"	"Monocytes and M2 Macrophages"
"Ifng"	"Ccr5, Ccl4, Ccl5, Il17a, Gclm"	"NKT cells"
"Il12a"	"Ccr5, Il1r1, Ccl4, Cish, Bhlhe40"	"NKT cells"
"Il12b"	"Ccr5, Il1r1, Ccl4, Cish, Il17a"	"NKT cells"
"Il23a"	"Il17a, Ccr6, Cish, Bhlhe40, Ccl5"	"NKT cells"
"Mapt"	"Glrx, Gclm, Txn2, Bhlhe40, Cks1b"	"NKT cells"
"Ifng"	"Cd83, Ccl5, Birc5, Socs3, Cxcl16"	"Plasma B cells"
"Il1a"	"Ccl8, Birc2, Traf1, Capg, Cd36"	"Plasma B cells"
"Il1b"	"Mmp12, Ass1, Traf1, Cd83, Ccl5"	"Plasma B cells"
"Il4"	"Ccl5, Cd36, Cd83, Socs3, Ccnd2"	"Plasma B cells"
"Tnf"	"Ccl8, Cxcl16, Il7r, Cd83, Traf1"	"Plasma B cells"
"Ccl12"	"Ccr2, Ccl4, Ccl5, Ifng, Itgal"	"T cells"
"Il12a"	"Gzma, Ifng, Ccl4, Bhlhe40, Abcb1a"	"T cells"
"Il12b"	"Gzma, Ifng, Ccl4, Bhlhe40, Ccl5"	"T cells"
"Tnf"	"Ccl8, Ccl17, Itgal, Ccl5, Abcb1a"	"T cells"
"Tnfsf11"	"Ctsk, Atp6v0d2, Itgal, Ifng, Bhlhe40"	"T cells"
"Agt"	"Adamts1"	"Vascular Endothelial cells"
"Ctf1"	"Dusp6, Aldoa, S1pr1, Rab11a, Adamts1"	"Vascular Endothelial cells"
"Il1b"	"Adamts1, Dusp6, Aldoa"	"Vascular Endothelial cells"
"Sell"	"S1pr1"	"Vascular Endothelial cells"
"Vegfa"	"S1pr1, Adamts1, Aldoa, Dusp6"	"Vascular Endothelial cells"
"Cd6"	"Cirbp, Sel1l, Fli1, C87436, Gemin7"	"classical Monocytes"
"Il1b"	"Mmp12, C1qb, Anxa1, Cirbp, Fli1"	"classical Monocytes"
"Ptgs2"	"C1qb, Cirbp, Fli1, Sorl1, Csnk1d"	"classical Monocytes"
"Sectm1a"	"Fli1, Cirbp, Crip1, Car1, Trmt1"	"classical Monocytes"
"Slit2"	"Fli1, Cirbp, Trmt1, C87436, Rps16"	"classical Monocytes"
"Csf1"	"Ctsk, Nfatc1, Mfge8, Tgif1"	"non classical Monocytes"
"Il13"	"Ccl24, F13a1, Ccl17, Tlr4, Tgif1"	"non classical Monocytes"
"Il34"	"Ctsk"	"non classical Monocytes"
"Il4"	"Ccl17, F13a1, Ccl24, Tlr4, Sdc1"	"non classical Monocytes"
"Tnfsf11"	"Ctsk, Nfatc1, Tgif1, Klf6"	"non classical Monocytes"
