"Ligand"	"TargetGenes"	"Cell"
"Il12b"	"Gzma, Cd3e, Ccl3, Ccl12, Il1b"	"AT2"
"Il13"	"Ccl24, Mrc1, Alox15, Arg1, Igf1"	"AT2"
"Il17a"	"Il1b, Ccl12, Lsp1, Ccl5, Mdk"	"AT2"
"Il2"	"Klrk1, Tnfrsf4, Gzma, Il2rb, Ccnd2"	"AT2"
"Il4"	"Mrc1, Alox15, Arg1, Tnfrsf4, Ccl5"	"AT2"
"Calr"	"Egfl6, Efhc2, Mmp12, Cdh23, Bcl11b"	"Airway Epithelium"
"Cxcl9"	"Mmp12, Ccl12"	"Airway Epithelium"
"Il2"	"Il27ra, Tlr3, Dgkg, Sema6d, Adam19"	"Airway Epithelium"
"Il21"	"Tlr3, Zkscan7, Dgkg, Nr1h3, Vdr"	"Airway Epithelium"
"Nlgn1"	"Egfl6, Ankrd55, Ankrd29, Casp1, Olfml2a"	"Airway Epithelium"
"App"	"Trem2, Cd36, Pla2g2d, Msr1, Pcp4l1"	"Alveolar Macrophages"
"Csf1"	"Ctsk, Acp5, Msr1, Cd36, Lama5"	"Alveolar Macrophages"
"Ifng"	"Igf1, Arg1, Spp1, Efemp1, Abcg2"	"Alveolar Macrophages"
"Il13"	"Arg1, Igf1, Cd36, Lama5, Mmp12"	"Alveolar Macrophages"
"Lama2"	"Trem2, Ccser1, Carns1, Ccl2, Mmp12"	"Alveolar Macrophages"
"Agt"	"Edn1, Col4a2, Col4a1, Adamts1, Ier3"	"Capillary cells"
"Bdnf"	"Ntrk2, Nr4a1, Bhlhe40, Ier3, Ddit4"	"Capillary cells"
"Oit1"	"Nr4a1"	"Capillary cells"
"Prok1"	"Il6st"	"Capillary cells"
"Shh"	"Abcg2, Ntrk2, Ier3, Nr1d1, Ddit4"	"Capillary cells"
"Ifng"	"Ccl17, Arg1, Ccr1, Fn1, Mmp12"	"Dendritic cells"
"Il13"	"Ccl24, Arg1, Fn1, Ccl17, Mmp12"	"Dendritic cells"
"Il1b"	"Mmp12, Cxcl2, Timp1, Fn1, Ctss"	"Dendritic cells"
"Il4"	"Ccl17, Arg1, Pdcd1lg2, Fn1, Ccl24"	"Dendritic cells"
"Tnf"	"Ccl17, Cxcl2, Cyba, Arg1, Pdcd1lg2"	"Dendritic cells"
"Apoe"	"Cxcl5, Ptgis, Lcn2, Timp1, Serpine1"	"Fibroblasts and Protector cells"
"Il1b"	"Hp, Cxcl5, Mmp12, Serpine1, Lcn2"	"Fibroblasts and Protector cells"
"Lgals3"	"Lcn2, Serpine1, Tubb5"	"Fibroblasts and Protector cells"
"Lif"	"Hp, Timp1, Lcn2, Serpine1, Tubb5"	"Fibroblasts and Protector cells"
"Osm"	"Timp1, Cxcl5, Hp, Serpine1, Tubb5"	"Fibroblasts and Protector cells"
"Ccl12"	"Ccl3, Ccl4, Sod2, Cdkn1a, Gadd45b"	"Granulocytes"
"Ccl3"	"Cdkn1a, Gadd45b, Bhlhe40, Nek6, Ccl3"	"Granulocytes"
"Csf2"	"Csf2ra, Cd14, Cish, Il1rn, Fcgr2b"	"Granulocytes"
"Tnf"	"Il1rn, Csf1, Cd14, Cyba, Fth1"	"Granulocytes"
"Tnfsf8"	"Cflar, Ccl3, Ccl4, Cdkn1a, Gadd45b"	"Granulocytes"
"Ccl12"	"Ccl5, Ifng, Id2"	"Innate Lymphoid cells"
"Cd28"	"Ifng, Icos, Id2"	"Innate Lymphoid cells"
"Cd80"	"Ifng, Icos, Id2"	"Innate Lymphoid cells"
"Cd86"	"Ifng, Icos, Id2"	"Innate Lymphoid cells"
"Icam1"	"Ifng, Ccl5, Id2"	"Innate Lymphoid cells"
"Cdh1"	"Arg1, Fn1, Fkbp5, Hmox1"	"Interstitial Macrophages"
"Il13"	"Arg1, Fn1, Hmox1, Fcgr2b, Fkbp5"	"Interstitial Macrophages"
"Il4"	"Arg1, Hmox1, Fn1, Trem2, Fcgr2b"	"Interstitial Macrophages"
"Ntn1"	"Arg1"	"Interstitial Macrophages"
"Tnf"	"Ccl8, Arg1, Hmox1, Acp5, Fn1"	"Interstitial Macrophages"
"Cdh1"	"Arg1"	"Monocytes and M2 Macrophages"
"Lama2"	"F8, Arg1, Stac2, Lgals3"	"Monocytes and M2 Macrophages"
"Ntn1"	"Arg1"	"Monocytes and M2 Macrophages"
