"","AT2","Airway Epithelium","Alveolar Macrophages","Capillary cells","Dendritic cells","Fibroblasts and Protector cells","Granulocytes","Innate Lymphoid cells","Interstitial Macrophages","non classical Monocytes","classical Monocytes","Monocytes and M2 Macrophages","NKT cells","Plasma B cells","T cells","Vascular Endothelial cells"
"AT2",-0.519972645051574,-0.16973950766703,-0.348933751520337,-0.36694475694399,-0.233913449077558,-0.219923690066918,-0.0152180141511712,-0.0981789064494576,-0.362657295137402,-0.182287316335764,-0.231817189374238,-0.0187528004825228,-0.427179544642625,-0.291884567155223,-0.49460175567409,-0.0662934111340712
"Airway Epithelium",-0.171973408985519,-0.0632212664830376,-0.117065776181649,-0.136626966712753,-0.0618549909375918,-0.0839632442350681,-0.00853947985735673,-0.0478403778538313,-0.130728537138944,-0.0545317426414113,-0.0692496830567392,-0.00743704951898422,-0.137879126094055,-0.135928518376547,-0.188317396670854,-0.0192402238951485
"Alveolar Macrophages",-0.200893821726672,-0.0761632677595927,-0.123181682944378,-0.136712038986863,-0.0912237170478992,-0.0860525003088874,-0.00841875799272107,-0.0468556874110119,-0.133184217535239,-0.0654415538397707,-0.0933316011696685,-0.00982078806097199,-0.160158263143677,-0.11882007774401,-0.180287227801954,-0.0265258263275029
"Capillary cells",-0.411328771558529,-0.135174635817519,-0.279490284830292,-0.273399363951187,-0.191720873112281,-0.150805276755658,-0.00731284181810906,-0.082243527666807,-0.27868843913717,-0.133969236302517,-0.204964670653518,-0.0213374480502724,-0.342559949831374,-0.242962730510351,-0.388598652399296,-0.0555187640275914
"Dendritic cells",-0.00895143636931863,-0.00130365966007785,-0.00840287320038461,-0.0141316621846361,-0.0159466779034209,-0.00370099574501271,-0.000681353479686326,-0.00766387898879916,-0.00859491209340755,-0.00652940664205548,-0.00417262219755454,-0.00012155204227275,-0.0253449300864542,-0.00910808629111594,-0.0109097175316562,0.00340875608980563
"Fibroblasts and Protector cells",-0.177806443058352,-0.0594277261813652,-0.114933056245034,-0.126367881828093,-0.0714186442991743,-0.0779260269933037,-0.00895212313530532,-0.0342621509025333,-0.127589754267677,-0.0602319558477681,-0.0810918385707832,-0.0132316921925097,-0.16010937569895,-0.109419173390606,-0.174795393063934,-0.0198985281857678
"Granulocytes",-0.0426074811676759,-0.0147797613958831,-0.0283798772708529,-0.0251679287376382,-0.0176747620520668,-0.0114097151393316,-0.00244641627689818,-0.00791490971207157,-0.0284584074425464,-0.0155329172355304,-0.0205062822431289,-0.00186582002853706,-0.0367120574297092,-0.024590271379793,-0.0395436329606705,-0.00418363997750812
"Innate Lymphoid cells",0.00330382768221197,-0.000725677400867883,0.00697990401294456,0.00671411970187776,0.00350520419441503,0.00324755385840073,-0.00133255983791097,0.00146037751887725,-0.000586338801411239,0.00266308126544179,0.0062484955883287,-0.00437684389765941,0.0132698044746052,0.0105669180011452,0.0129870748375452,-0.00466894334321951
"Interstitial Macrophages",0.287223891241703,0.0892789768574395,0.208823683079019,0.202703877783754,0.121386401425108,0.134865778913223,0.00390569809862674,0.0628582576635511,0.190210249592227,0.0873705673749047,0.127726131285043,0.013575950876145,0.216886188820746,0.149032664305549,0.262201559334529,0.0365172005359538
"non classical Monocytes",-0.0686628846269204,-0.021361536118308,-0.0472515748579087,-0.0458482862577993,-0.0309657348583271,-0.0243703056371432,-0.00123312528035972,-0.016803869777734,-0.0451996452016403,-0.0256293846832373,-0.0333788772671368,-0.00213977365214713,-0.0552651425303929,-0.0436234533373952,-0.0705049169061085,-0.00836206313759919
"classical Monocytes",-0.0601980189722793,-0.0225700728234471,-0.0480399517738853,-0.0497151529250675,-0.0368601182475911,-0.0242214200777486,-0.00570524367220552,-0.0193295649809007,-0.0474152842968423,-0.028563275122175,-0.0398351543352068,-0.00476756023441279,-0.0640304627576396,-0.0458416345363337,-0.0638809283157389,-0.00972117270562275
"Monocytes and M2 Macrophages",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NKT cells",-0.0236072446698148,-0.0053025377975979,-0.0188197407580933,-0.00769304901639614,-0.0139085079141584,7.58983243543518e-05,0.00332550084428952,-0.00710736331591164,-0.0235572212815444,-0.00671459782356291,-0.0126299028250081,-0.00326738426319288,-0.00741724022933563,-0.0122536918076247,-0.018141985751287,-0.0035082609628852
"Plasma B cells",-0.237146478918519,-0.0842395216807989,-0.172541710530747,-0.158826441326236,-0.106231548729218,-0.0934779250266384,-0.0130713482630046,-0.0570086857584515,-0.166535008058362,-0.080103450871203,-0.115650910805133,-0.010617061259109,-0.198417526646008,-0.147971418746695,-0.226433148430912,-0.0272427862028834
"T cells",-0.236938675316243,-0.076198469872731,-0.171896873997181,-0.170448430335668,-0.119631063044933,-0.0871659182252309,-0.0153020679190674,-0.0540517972713623,-0.177802641119319,-0.086395094318282,-0.122985135629313,-0.00968375504613057,-0.21060791971519,-0.147262599884846,-0.244963236563074,-0.0288498241280881
"Vascular Endothelial cells",0.00549707717099699,0.00165426934709365,0.0019821818354163,0.00401512873874348,0.00467983919599013,-0.00617713464676005,0.0018252996346723,0.00233462286291626,-0.00268143951867154,0.00155552567380532,0.004741999117742,0.00110873215805042,0.0113390283127383,0.0108740688485016,0.0109730379160175,-0.00297642832918229
